,Problem,correct,category,option_a,option_b,option_c,option_d,option_e
1034,"when sold at a 60 % discount , a sweater nets the merchant a 20 % profit on the wholesale cost at which he initially purchased the item . by what % is the sweater marked up from wholesale at its normal retail price ?",c,gain, 20 % , 40 % , 66.67 % , 80 % , 100 % 
1035,"jayant opened a shop investing rs . 30,000 . madhu joined him 2 months later , investing rs . 45,000 . they earned a profit of rs . 56,000 after completion of one year . what will be madhu ' s share of profit ?",a,gain, rs . 28, rs . 24, rs . 30, rs . 36, none of these 
1036,find the 25 % of rs . 600 .,a,gain, s . 150 , s . 70 , s . 100 , s . 80 , s . 60 
1037,ramu bought an old car for rs . 42000 . he spent rs . 13000 on repairs and sold it for rs . 60900 . what is his profit percent ?,a,gain, 10.7 % , 19 % , 18 % , 14 % , 16 % 
1038,"at a florist shop on a certain day , all corsages sold for either $ 20 or $ 30 . if 8 of the corsages that sold for $ 30 had instead sold for $ 20 , then the store ' s revenue from corsages that day would have been reduced by 10 percent . what was the store ' s actual revenue from corsages that day ?",d,gain, $ 200 , $ 400 , $ 600 , $ 800 , $ 1000 
1039,find 20 % of 240,e,gain, 96 , 94 , 86 , 74 , 48 
1040,an error 2 % in excess is made while measuring the side of a square . the percentage of error in the calculated area of the square is :,d,gain, 1.04 , 2.04 , 3.04 , 4.04 , none of these 
1041,"david deposited $ 5000 to open a new savings account that earned 6 percent annual interest , compounded semi - annually . if there were no other transactions in the account , what the amount of money in david account one year after the account was opened ?",a,gain, $ 5306 , $ 6120 , $ 5136 , $ 5405 , $ 5500 
1042,fresh grapes contain 90 % by weight while dried grapes contain 20 % water by weight . what is the weight of dry grapes available from 10 kg of fresh grapes ?,d,gain, 2 kg , 2.4 kg , 2.5 kg , 1.250 kg , none of these 
1043,"a shopkeeper buys two articles for rs . 1000 each and then sells them , making 40 % profit on the first article and 40 % loss on second article . find the net profit or loss percent ?",d,gain, 200 , 278 , 282 , 400 , 270 
1044,"a shopkeeper buys two articles for rs . 1000 each and then sells them , making 30 % profit on the first article and 30 % loss on second article . find the net profit or loss percent ?",e,gain, 200 , 278 , 282 , 202 , 300 
1045,fresh grapes contain 60 % water by weight and raisins obtained by drying fresh grapes contain 25 % water by weight . how many kgs of fresh grapes are needed to get 20 kgs of raisins ?,c,gain, 75 kgs , 64 kgs , 37.5 kgs , 65 kgs , 70 kgs 
1046,the sale price sarees listed for rs . 450 after successive discount is 20 % and 15 % is ?,c,gain, 321 , 276 , 306 , 265 , 162 
1047,"a and b began business with rs . 3000 and rs . 4000 after 8 months , a withdraws rs . 1000 and b advances rs . 1000 more . at the end of the year , their profits amounted to rs . 630 find the share of a",d,gain, rs . 300 , rs . 56 , rs . 100 , rs . 240 , rs . 90 
1048,"a cricket bat is sold for $ 850 , making a profit of $ 245 . the profit percentage would be",e,gain, 24 % , 25 % , 30 % , 36 % , 40 % 
1049,"a feed store sells two varieties of birdseed : brand a , which is 40 % millet and 60 % sunflower , and brand b , which is 65 % millet and 35 % sunflower . if a customer purchases a mix of the two types of birdseed that is 50 % sunflower , what percent of the mix is brand a ?",e,gain, 40 % , 45 % , 50 % , 55 % , 60 % 
1050,in an election a candidate who gets 60 % of the votes is elected by a majority of 1504 votes . what is the total number of votes polled ?,d,gain, a ) 4500 , b ) 5200 , c ) 6900 , d ) 7520 , e ) 6000 
1051,if a lends rs . 2800 to b at 15 % per annum and b lends the same sum to c at 18.5 % per annum then the gain of b in a period of 3 years is ?,a,gain, 294 , 289 , 240 , 233 , 200 
1052,sonika deposited rs . 8000 which amounted to rs . 9200 after 3 years at simple interest . had the interest been 1 % more . she would get how much ?,a,gain, 9440 , 96288 , 26667 , 1662 , 2882 
1053,a bowl of fruit contains 14 apples and 23 oranges . how many oranges must be removed so that 70 % of the pieces of fruit in the bowl will be apples ?,d,gain, 3 , 6 , 14 , 17 , 20 
1054,a candidate got 30 % of the votes polled and he lost to his rival by 4000 votes . how many votes were cast ?,d,gain, 7500 , 2028 , 2775 , 10000 , 6851 
1055,"if 5 % more is gained by selling an article for rs . 350 than by selling it for rs . 345 , the cost of the article is",c,gain, 289 , 231 , 100 , 288 , 111 
1056,rs . 1500 is divided into two parts such that if one part is invested at 6 % and the other at 5 % the whole annual interest from both the sum is rs . 81 . how much was lent at 5 % ?,d,gain, 299 , 666 , 778 , 900 , 977 
1057,what will be the difference between simple and compound interest at 16 % per annum on a sum of rs . 1000 after 4 years ?,c,gain, 164.19 , 164.12 , 170.6 , 167.1 , 165.11 
1058,fresh grapes contain 80 % by weight while dried grapes contain 20 % water by weight . what is the weight of dry grapes available from 40 kg of fresh grapes ?,a,gain, 10 kg , 12 kg , 15 kg , 16 kg , 20 kg 
1059,"in 2008 , the profits of company n were 10 percent of revenues . in 2009 , the revenues of company n fell by 20 percent , but profits were 12 percent of revenues . the profits in 2009 were what percent of the profits in 2008 ?",d,gain, 80 % , 105 % , 120 % , 96 % , 138 % 
1060,present birth rate is 32 per 1000 while death rate is 11 per 1000 . what will be the percentage increase in the rate of population ?,d,gain, 0.21 % , 21 % , 0.021 % , 2.1 % , none of these 
1061,"on selling 11 balls at rs . 720 , there is a loss equal to the cost price of 5 balls . the cost price of a ball is :",e,gain, s . 45 , s . 50 , s . 55 , s . 60 , s . 120 
1062,a 12 % stock yielding 10 % is quoted at :,d,gain, rs . 83.33 , rs . 110 , rs . 112 , rs . 120 , rs . 140 
1063,shopkeeper rise price by 32 % and gives successive discount of 10 % and 15 % . what is overall % gain or loss ?,a,gain, 0.98 % , 4.98 % , 3.95 % , 6.98 % , 7.98 % 
1064,one fourth of a solution that was 10 % sugar by weight was replaced by a second solution resulting in a solution that was 17 percent sugar by weight . the second solution was what percent sugar by weight ?,d,gain, 34 % , 24 % , 22 % , 38 % , 8.5 % 
1065,tom purchased 8 kg of apples at the rate of 70 per kg and 9 kg of mangoes at the rate of 70 per kg . how much amount did he pay to the shopkeeper ?,d,gain, a ) 1040 , b ) 1045 , c ) 1055 , d ) 1190 , e ) 1075 
1066,"a cycle is bought for rs . 840 and sold for rs . 1220 , find the gain percent ?",b,gain, 70 % , 45 % , 48 % , 30 % , 40 % 
1067,when the price of an article was reduced by 20 % its sale increased by 80 % . what was the net effect on the sale ?,a,gain, 44 % increase , 44 % decrease , 60 % increase , 66 % increase , 66 % decrease 
1068,"an escalator moves towards the top level at the rate of 7 ft . sec and its length is 180 feet . if a person walks on the moving escalator at the rate of 2 feet per second towards the top level , how much time does he take to cover the entire length .",c,gain, 5 sec , 25 sec , 20 sec , 15 sec , 10 sec 
1069,a sum of money at simple interest amounts to rs . 1717 in 1 year and to rs . 1734 in 2 years . the sum is :,d,gain, rs . 1200 , rs . 1690 , rs . 1600 , rs . 1700 , rs . 1500 
1070,"victor gets 80 % marks in examinations . if these are 240 marks , find the maximum marks .",b,gain, 334 , 300 , 376 , 288 , 271 
1071,a shopkeeper sold an article at $ 100 with 45 % profit . then find its cost price ?,e,gain, $ 120 , $ 100 , $ 91 , $ 72 , $ 69 
1072,"the sale price of an article including the sales tax is rs . 616 . the rate of sales tax is 10 % . if the shopkeeper has made a profit of 17 % , then the cost price of the article is :",e,gain, 500 , 334 , 555 , 664 , 526 
1073,how long does a train 110 meters long running at the rate of 36 km / hr take to cross a bridge 132 meters in length ?,a,gain, 24.2 sec , 30.6 sec , 32.6 sec , 28.1 sec , 20.4 sec 
1074,"a certain airline ' s fleet consisted of 100 type a planes at the beginning of 1980 . at the end of each year , starting with 1980 , the airline retired 3 of the type a planes and acquired 4 new type b plans . how many years did it take before the number of type a planes left in the airline ' s fleet was less than 50 percent of the fleet ?",b,gain, 14 , 15 , 16 , 17 , 18 
1075,"the price of an article is cut by 10 % . to restore it to the former value , the new price must be increased by",c,gain, 10 % , 9 1 / 11 % , 11 1 / 9 % , 11 % , none 
1076,"a 340 - liter solution of kola is made from 80 % water , 6 % concentrated kola and the rest is made from sugar . if 3.2 liters of sugar , 10 liter of water and 6.8 liters of concentrated kola were added to the solution , what percent of the solution is made from sugar ?",e,gain, 6 % . , 7.5 % . , 9.2 % . , 10.5 % . , 14 % . 
1077,"from january 1 , 1991 , to january 1 , 1993 , the number of people enrolled in health maintenance organizations increased by 20 percent . the enrollment on january 1 , 1993 , was 50 million . how many million people , to the nearest million , were enrolled in health maintenance organizations on january 1 , 1991 ?",e,gain, 38 , 39 , 40 , 41 , 42 
1078,"on a sum of money , the simple interest for 2 years is rs . 330 , while the compound interest is rs . 340 , the rate of interest being the same in both the cases . the rate of interest is",c,gain, 15 % , 14.25 % , 6.06 % , 10.5 % , 11.5 % 
1079,"an article is bought for rs . 575 and sold for rs . 675 , find the gain percent ?",a,gain, 17.39 % , 33 1 / 6 % , 33 1 / 3 % , 38 1 / 3 % , 33 2 / 3 % 
1080,"a cycle is bought for rs . 900 and sold for rs . 1150 , find the gain percent ?",c,gain, 15 , 20 , 27.77 , 40 , 12 
1081,"alfred buys an old scooter for $ 4700 and spends $ 800 on its repairs . if he sells the scooter for $ 5800 , his gain percent is ?",a,gain, 5.45 % , 6.23 % , 7 % , 8.12 % , 10 % 
1082,"tom opened a shop investing rs . 30000 . jose joined him 2 months later , investing rs . 45000 . they earned a profit of rs . 45000 after completion of one year . what will be jose ' s share of profit ?",c,gain, 20000 , 10000 , 25000 , 34000 , 30000 
1083,"3 candidates in an election and received 1000 , 2000 and 4000 votes respectively . what % of the total votes did the winning candidate got in that election ?",c,gain, 45 % , 50 % , 57.14 % , 60 % , 65.12 % 
1084,two numbers are less than third number by 20 % and 37 % respectively . how much percent is the second number less than by the first,a,gain, 5 % , 10 % , 9 % , 11 % , 12 % 
1085,a person buys an article at rs . 500 . at what price should he sell the article so as to make a profit of 45 % ?,e,gain, 600 , 887 , 256 , 654 , 725 
1086,"martin bought 10 concert tickets , some at the full price of $ 2.00 per ticket , and some at a discounted price of $ 1.60 per ticket . if he spent a total of $ 18.00 , how many discounted tickets did he buy ?",c,gain, 3 , 4 , 5 , 6 , 7 
1087,"the purchase price of an article is $ 48 . in order to include 15 % of cost for overhead and to provide $ 12 of net profit , the markup should be",d,gain, 15 % , 25 % , 35 % , 40 % , 45 % 
1088,"a trader cheats both his supplier and customer by using faulty weights . when he buys from the supplier , he takes 10 % more than the indicated weight . when he sells to his customer , he gives the customer a weight such that 30 % of that is added to the weight , the weight claimed by the trader is obtained . if he charges the cost price of the weight that he claims , find his profit percentage .",b,gain, 20 % , 43 % , 99.33 % , 75.109 % , 47 % 
1089,"at the end of the first quarter , the share price of a certain mutual fund was 25 percent higher than it was at the beginning of the year . at the end of the second quarter , the share price was 55 percent higher than it was at the beginning of the year . what was the percent increase in the share price from the end of the first quarter to the end of the second quarter ?",a,gain, 24 % , 25 % , 30 % , 33 % , 40 % 
1090,data sufficiency question : if solution ( x ) with alcohol ( 14 % ) and solution ( y ) with alcohol ( 20 % ) mixed together to form 24 liters of mixture .,a,gain, 1 , 2 , 3 , 4 , 3 
1091,"vijay sells a cupboard at 14 % below cost price . had he got rs . 2086 more , he would have made a profit of 14 % . what is the cost price of the cupboard ?",c,gain, 7458 , 7456 , 7450 , 7454 , 7453 
1092,i bought two books ; for rs . 540 . i sold one at a loss of 15 % and other at a gain of 19 % and then i found each book was sold at the same price . find the cost of the book sold at a loss ?,e,gain, 197 , 280 , 189 , 278 , 315 
1093,a sum of money deposited at c . i . amounts to rs . 1980 in 3 years and to rs . 2492 in 4 years . find the rate percent ?,c,gain, 30 % , 10 % , 25 % , 19 % , 50 % 
1094,an alloy weighing 18 ounces is 70 percent gold . how many ounces of pure gold must be added to create an alloy that is 90 percent gold ?,b,gain, 6 , 90 , 12 , 24 , 48 
1095,"a and b began business with rs . 7000 and rs . 15000 after 6 months , a advances rs . 3000 and b withdraws rs . 5000 . at the end of the year , their profits amounted to rs . 2940 find the share of a and b respectively .",d,gain, 1100 , 1140 , 940 , 1190 , 1000 : 1690 
1096,"in country z , 10 % of the people do not have a university diploma but have the job of their choice , and 15 % of the people who do not have the job of their choice have a university diploma . if 40 % of the people have the job of their choice , what percent of the people have a university diploma ?",a,gain, 39 % , 45 % , 55 % , 65 % , 75 % 
1097,the present worth of rs . 676 due in 2 years at 4 % per annum compound interest is,d,gain, rs . 150.50 , rs . 154.75 , rs . 156.25 , rs . 625 , none 
1098,a shopkeeper sold an article for rs 2591.36 . approximately what was his profit percent if the cost price of the article was rs 2400,d,gain, 4 % , 5 % , 6 % , 8 % , 10 % 
1099,a shopkeeper sold an article offering a discount of 5 % and earned a profit of 21.6 % . what would have been the percentage of profit earned if no discount was offered ?,b,gain, 60 % , 28 % , 30 % , 56 % , 73 % 
1100,"in a certain boys camp , 20 % of the total boys are from school a and 30 % of those study science . if there are 77 boys in the camp that are from school a but do not study science then what is the total number of boys in the camp ?",a,gain, 550 , 245 , 150 , 35 , 350 
1101,how many litres of pure acid are there in 10 litres of a 25 % solution,c,gain, 1.5 , 1.6 , 2.5 , 1.8 , 1.9 
1102,after decreasing 50 % in the price of an article costs rs . 1200 . find the actual cost of an article ?,c,gain, 1200 , 50 , 2400 , 100 , 600 
1103,"a dishonest dealer professes to sell goods at the cost price but uses a weight of 750 grams per kg , what is his percent ?",b,gain, 25 % , 33 % , 29 % , 55 % , 45 % 
1104,"a sum of 14,400 amounts to 16,600 in 3 years at the rate of simple interest . what is the rate of interest ?",d,gain, 2 % , 1 % , 6 % , 5 % , 8 % 
1105,"a particular library has 75 books in a special collection , all of which were in the library at the beginning of the month . these book are occasionally loaned out through an inter - library program . if , by the end of the month , 70 percent of books that were loaned out are returned and there are 66 books in the special collection at that time , how many books of the special collection were loaned out during that month ?",b,gain, 20 , 30 , 35 , 40 , 55 
1106,a shopkeeper sold an article offering a discount of 5 % and earned a profit of 27.3 % . what would have been the percentage of profit earned if no discount had been offered ?,d,gain, 28.5 , 27.675 , 30 , 34 % , none of these 
1107,"in town x , 64 percent of the population are employed , and 45 percent of the population are employed males . what percent of the employed people in town x are females ?",e,gain, 16 % , 45 % , 32 % , 40 % , 28 % 
1108,"x and y invested in a business . they earned some profit which they divided in the ratio of 2 : 3 . if x invested rs . 40,000 , the amount invested by y is",c,gain, 33488 , 63809 , 60000 , 37887 , 77824 
1109,a person borrows rs . 5000 for 2 years at 4 % p . a . simple interest . he immediately lends it to another person at 61 ⁄ 4 % p . a for 2 years . find his gain in the transaction per year .,d,gain, 167.5 , 150 , 225 , 112.5 , 212.5 
1110,the sale price sarees listed for rs . 560 after successive discount is 20 % and 30 % is ?,b,gain, 321 , 314 , 316 , 265 , 162 
1111,"if the simple interest on $ 1500 increase by $ 20 , when the time increase by 2 years . find the rate percent per annum .",e,gain, 0.6 % , 0.5 % , 0.1 % , 0.2 % , 0.7 % 
1112,"a man sells an article at a profit of 25 % . if he had bought it at 20 % less and sold it for rs . 8.40 less , he would have gained 30 % . find the cost of the article .",b,gain, 30 , 40 , 50 , 60 , 70 
1113,"a watch was sold at a loss of 10 % . if it was sold for rs . 190 more , there would have been a gain of 4 % . what is the cost price ?",d,gain, s . 1000 , s . 1009 , s . 1007 , s . 1357.1 , s . 1002 
1114,what sum of money will produce rs . 70 as simple interest in 4 years at 4 1 / 2 percent ?,c,gain, 263 , 500 , 388.9 , 368 , 339 
1115,"the length of a rectangular floor is more than its breadth by 500 % . if rs . 324 is required to paint the floor at the rate of rs . 6 per sq m , then what would be the length of the floor ?",e,gain, 24.6 m . , 23.4 m . , 22.5 m . , 23.8 m . , 25.5 m . 
1116,"an article is bought for rs . 600 and sold for rs . 550 , find the loss percent ?",a,gain, 8.33 % , 16 7 / 3 % , 16 2 / 8 % , 16 2 / 3 % , 76 2 / 3 % 
1117,"calculate the dividend from caleb ' s stock , if caleb he invested rs . 2500 at 79 to obtain an income of rs . 200 .",a,gain, 6.32 , 5.32 , 7.32 , 2.32 , 1.32 
1118,at what rate percent per annum will a sum of money double in 16 years .,e,gain, 2.45 % , 5.62 % , 5.35 % , 6.9 % , 6.25 % 
1119,"in the manufacture of a certain product , 9 percent of the units produced are defective and 4 percent of the defective units are shipped for sale . what percent of the units produced are defective units that are shipped for sale ?",b,gain, 0.125 % , 0.36 % , 0.8 % , 1.25 % , 2.0 % 
1120,"the cost price of a radio is rs . 1500 and it was sold for rs . 1245 , find the loss % ?",a,gain, 17 % , 16 % , 19 % , 78 % , 28 % 
1121,a person buys an article at $ 500 . at what price should he sell the article so as to make a profit of 20 % ?,c,gain, 560 , 449 , 600 , 740 , 460 
1122,ramu bought an old car for rs . 36400 . he spent rs . 8000 on repairs and sold it for rs . 68400 . what is his profit percent ?,d,gain, 16 % , 17 % , 18 % , 54 % , 13 % 
1123,i bought two books ; for rs . 480 . i sold one at a loss of 15 % and other at a gain of 19 % and then i found each book was sold at the same price . find the cost of the book sold at a gain ?,b,gain, a ) 657 , b ) 200 , c ) 438 , d ) 290 , e ) 427 
1124,"a tank is filled to one quarter of its capacity with a mixture consisting of water and sodium chloride . the proportion of sodium chloride in the tank is 30 % by volume and the capacity of the tank is 24 gallons . if the water evaporates from the tank at the rate of 0.4 gallons per hour , and the amount of sodium chloride stays the same , what will be the concentration of water in the mixture in 6 hours ?",e,gain, 30 % , 35 % , 40 % , 45 % , 50 % 
1125,by selling 20 pencils for a rupee a man loses 35 % . how many for a rupee should he sell in order to gain 30 % ?,e,gain, 8 , 9 , 6 , 14 , 10 
1126,"in order to obtain an income of rs . 500 from 30 % stock at rs . 90 , one must make an investment of",e,gain, rs . 1550 , rs . 1430 , rs . 1450 , rs . 1400 , rs . 1500 
1127,"in the first 15 overs of a cricket game , the run rate was only 3.2 . what should be the run rate in the remaining 35 overs to reach the target of 275 runs ?",e,gain, 5.55 , 6.25 , 6.75 , 7.02 , 6.48 
1128,the effective annual rate of interest corresponding to a nominal rate of 8 % per annum payable half - yearly is ?,b,gain, 6.06 % , 8.16 % , 6.08 % , 6.09 % , 6.19 % 
1129,a shopkeeper sells 500 metres of cloth for rs . 15000 at a loss of rs . 10 per metre . find his cost price for one metre of cloth ?,a,gain, s . 40 , s . 12 , s . 96 , s . 50 , s . 13 
1130,"a particular store purchased a stock of turtleneck sweaters and marked up its cost by 20 % . during the new year season , it further marked up its prices by 25 % of the original retail price . in february , the store then offered a discount of 10 % . what was its profit on the items sold in february ?",c,gain, 27.5 % , 30 % , 35 % , 37.5 % , 40 % 
1131,a and b invests rs . 3000 and rs . 4500 respectively in a business . if a doubles his capital after 6 months . in what ratio should a and b divide that year ' s profit ?,e,gain, 6 : 8 , 9 : 8 , 7 : 9 , 9 : 5 , 1 : 1 
1132,in a certain company 20 % of the men and 40 % of the women attended the annual company picnic . if 50 % of all the employees are men . what % of all the employee went to the picnic ?,a,gain, 30 % , 34 % , 35 % , 36 % , 37 % 
1133,"by selling a book for 270 , 20 % profit was earned . what is the cost price of the book ?",b,gain, 215 , 225 , 230 , 235 , 240 
1134,"if the given two numbers are respectively 7 % and 14 % of a third number , then what percentage is the first of the second ?",d,gain, 20 % , 25 % , 18 % , 50 % , none of these 
1135,"if 0.5 % of a = 80 paise , then the value of a is ?",b,gain, rs . 170 , rs . 160 , rs . 1.70 , rs . 4.25 , none 
1136,"find compound interest on $ 8000 at 15 % per annum for 2 years 4 months , compounded annually .",a,gain, 3109 , 3209 , 3108 , 3107 , 3100 
1137,"alex takes a loan of $ 8,000 to buy a used truck at the rate of 6 % simple interest . calculate the annual interest to be paid for the loan amount .",a,gain, 480 , 520 , 460 , 400 , 520 
1138,"if each edge of cube increased by 30 % , the percentage increase in",a,gain, 69 , 72 , 64 , 61 , 75 
1139,at what rate percent of simple interest will a sum of money double itself in 11 years ?,a,gain, 9.09 % , 4.54 % , 8 . 2 % , 4.94 % , 5.54 % 
1140,a man took a loan at rate of 12 % per annum simple interest . after 3 years he had to pay 9000 interest . the principal amount borrowed by him was .,b,gain, rs 14000 , rs 25000 , rs 16000 , rs 17000 , none of these 
1141,"in an election , candidate a got 75 % of the total valid votes . if 15 % of the total votes were declared invalid and the total numbers of votes is 560000 , find the number of valid vote polled in favour of candidate .",a,gain, 357000 , 357003 , 277677 , 699377 , 267877 
1142,a sum of money at simple interest amounts to rs . 820 in 3 years and to rs . 854 in 4 years . the sum is :,b,gain, 647 , 718 , 654 , 847 , 976 
1143,a person buys an article at rs . 650 . at what price should he sell the article so as to make a profit of 10 % ?,b,gain, 600 , 715 , 269 , 261 , 281 
1144,solve the quickfire maths brain teaser â ˆ š 36 % = ?,c,gain, 30 % , 40 % , 60 % , 19 % , 29 % 
1145,"each of the integers from 0 to 9 , inclusive , is written on a separate slip of blank paper and the ten slips are dropped into a hat . if 4 of the slips are the drawn , without replacement , what is the probability that all 4 have a odd number written on it ?",d,gain, 1 / 12 , 1 / 10 , 1 / 8 , 1 / 42 , 5 / 9 
1146,a fashion designer sold a pair of jeans to a retail store for 40 percent more than it cost to manufacture the pair of jeans . a customer bought the pair of jeans for 10 percent more than the retailer paid for them . the price the customer paid was what percent greater than the cost of manufacturing the jeans ?,a,gain, 54 % , 70 % , 75 % , 85 % , 95 % 
1147,"a sum was put at simple interest at a certain rate for 10 years . had it been put at 5 % higher rate , it would have fetched rs . 150 more . what was the sum ?",e,gain, s . 120 , s . 130 , s . 140 , s . 150 , s . 300 
1148,two numbers are respectively 12 % and 60 % more than a third number . the percentage that is first of the second is ?,c,gain, 50 % , 60 % , 70 % , 80 % , 90 % 
1149,what is 120 % of 13 / 24 of 840 ?,d,gain, 436 , 478 , 512 , 546 , 620 
1150,"a man sells an article at a profit of 25 % . if he had bought it at 20 % less and sold it for rs . 14.70 less , he would have gained 30 % . find the cost of the article .",e,gain, 30 , 40 , 50 , 60 , 70 
1151,by selling 22 pencils for a rupee a man loses 20 % . how many for a rupee should he sell in order to gain 20 % ?,d,gain, 83 , 63 , 53 , 33 , 13 
1152,"a certain college ' s enrollment at the beginning of 1992 was 20 percent greater than it was at the beginning of 1991 , and its enrollment at the beginning of 1993 was 25 percent greater than it was at the beginning of 1992 . the college ' s enrollment at the beginning of 1993 was what percent greater than its enrollment at the beginning of 1991 ?",c,gain, 47.5 % , 44 % , 50 % , 35 % , 38 % 
1153,by selling 10 pencils for a rupee a man loses 15 % . how many for a rupee should he sell in order to gain 15 % ?,c,gain, 8.39 , 6.39 , 7.39 , 9.39 , 2.39 
1154,a trader bought a car at 20 % discount on its original price . he sold it at a 100 % increase on the price he bought it . what percent of profit did he make on the original price ?,c,gain, 18 % , 13 % , 60 % , 40 % , 15 % 
1155,a can complete a certain job in 7 days . b is 40 % more efficient than a . in how many days can b complete the same job ?,a,gain, 5 , 6.25 , 7 , 7.5 , 4.8 
1156,"a glass was filled with 40 ounces of water , and 0.01 ounce of the water evaporated each day during a 20 - day period . what percent of the original amount of water evaporated during this period ?",c,gain, 0.005 % , 0.02 % , 0.5 % , 5 % , 20 % 
1157,a trader sold an article on a certain price with 20 % profit . if he sold double of previous selling price then find its profit %,a,gain, 140 % , 120 % , 100 % , 90 % , 80 % 
1158,if a and b get profits of rs . 6000 and rs . 4000 respectively at the end of year the ratio of their investments are ?,b,gain, 1 : 4 , 3 : 2 , 2 : 3 , 2 : 5 , none of these 
1159,"a dishonest dealer professes to sell goods at the cost price but uses a weight of 650 grams per kg , what is his percent ?",d,gain, 15 % , 25 % , 65 % , 53.8 % , 35 % 
1160,"a man completes of a job in 10 days . at this rate , how many more days will it takes him to finish the job ?",a,gain, 6 , 12 , 7 , 15 , 5 
1161,"in a sample of 800 high school students in which all students are either freshmen , sophomores , juniors , or seniors , 22 percent are juniors and 74 percent are not sophomores . if there are 160 seniors , how many more freshmen than sophomores are there among the sample of students ?",b,gain, 42 , 48 , 56 , 208 , 256 
1162,"a student needs 60 % of the marks on a test to pass the test . if the student gets 80 marks and fails the test by 100 marks , find the maximum marks set for the test .",b,gain, 250 , 300 , 350 , 400 , 450 
1163,"after giving a discount of rs . 45 the shopkeeper still gets a profit of 20 % , if the cost price is rs . 180 . find the markup % ?",c,gain, 0.4 , 0.55 , 0.45 , 0.48 , 0.58 
1164,"yesterday ' s closing prices of 1,760 different stocks listed on a certain stock exchange were all different from today ' s closing prices . the number of stocks that closed at a higher price today than yesterday was 20 percent greater than the number that closed at a lower price . how many of the stocks closed at a higher price today than yesterday ?",a,gain, 960 , 726 , 1, 1, 1
1165,a shopkeeper buys mangoes at the rate of 4 a rupee and sells them at 3.5 a rupee . find his net profit or loss percent ?,c,gain, 13.2 % , 15.2 % , 14.28 % , 32 1 / 3 % , 33 1 / 2 % 
1166,after decreasing 24 % in the price of an article costs rs . 836 . find the actual cost of an article ?,d,gain, 1667 , 6789 , 1200 , 1100 , 1421 
1167,an alloy weighing 24 ounces is 70 percent gold . how many ounces of pure gold must be added to create an alloy that is 80 percent gold ?,c,gain, 6 , 9 , 12 , 24 , 48 
1168,"the length of a rectangular floor is more than its breadth by 200 % . if rs . 484 is required to paint the floor at the rate of rs . 3 / sq m , what would be the length of the floor ?",d,gain, 12 , 18 , 20 , 22 , 24 
1169,after decreasing 20 % in the price of an article costs rs . 620 . find the actual cost of an article ?,a,gain, 775 , 620 , 750 , 800 , 720 
1170,andrew purchased 6 kg of grapes at the rate of 74 per kg and 9 kg of mangoes at the rate of 59 per kg . how much amount did he pay to the shopkeeper ?,b,gain, 1000 , 975 , 980 , 1020 , 1080 
1171,"a tank contains 7,500 gallons of a solution that is 6 percent sodium chloride by volume . if 2,000 gallons of water evaporate from the tank , the remaining solution will be approximately what percent sodium chloride ?",d,gain, 5.18 % , 6.18 % , 7.18 % , 8.18 % , . 7 % 
1172,the sale price sarees listed for rs . 175 after successive discount is 20 % and 5 % is ?,b,gain, 187 , 133 , 142 , 178 , 175 
1173,a money lender finds that due to a fall in the annual rate of interest from 8 % to 7 2 / 5 % his yearly income diminishes by rs . 61.50 . his capital is,e,gain, 223.78 , 37.78 , 246.0 , 278.88 , 102.5 
1174,"a sum of money lent at compound interest for 2 years at 20 % per annum would fetch rs . 482 more , if the interest was payable half yearly than if it was payable annually . the sum is",b,gain, 200000 , 20000 , 200029 , 288778 , 277789 
1175,"rs 3600 is divided into two parts such that one part is put out at 3 % and the other at 5 % . if the annual interest earned from both the investments be rs 144 , find the first part .",c,gain, s 4000 , s 2800 , s 1800 , s 3500 , s 3100 
1176,"the price of an item is discounted 2 percent on day 1 of a sale . on day 2 , the item is discounted another 12 percent , and on day 3 , it is discounted an additional 25 percent . the price of the item on day 3 is what percentage of the sale price on day 1 ?",a,gain, 66 % , 67.5 % , 69 % , 70 % , 72 % 
1177,a sum fetched a total simple interest of rs . 2700 at the rate of 6 p . c . p . a . in 3 years . what is the sum ?,e,gain, 25000 , 20000 , 18000 , 14000 , 15000 
1178,"the regular price per can of a certain brand of soda is $ 0.30 . if the regular price per can is discounted 15 percent when the soda is purchased in 24 - can cases , what is the price of 72 cans of this brand of soda purchased in 24 - can cases ?",b,gain, $ 16.32 , $ 18.36 , $ 21.60 , $ 24.48 , $ 28.80 
1179,a lent rs . 5000 to b for 2 years and rs . 3000 to c for 4 years on simple interest at the same rate of interest and received rs . 1980 in all from both of them as interest . the rate of interest per annum is ?,c,gain, 16 % , 12 % , 9 % , 10 % , 45 % 
1180,the difference between compound interest and simple interest on a certain amount of money at 5 % per annum for 2 years is 18 . find the sum :,d,gain, 4500 , 7500 , 5000 , 7200 , none of these 
1181,"company c produces toy trucks at a cost of $ 5.00 each for the first 100 trucks and $ 3.50 for each additional truck . if 500 toy trucks were produced by company c and sold for $ 20.00 each , what was company c ’ s gross profit ?",c,gain, $ 7, $ 8, $ 8, $ 8, $ 8
1182,"mohit sold an article for $ 27000 . had he offered a discount of 10 % on the selling price , he would have earned a profit of 8 % . what is the cost price of the article ?",b,gain, 16000 , 22500 , 15000 , 18000 , 17000 
