,Problem,correct,category,option_a,option_b,option_c,option_d,option_e
417,"in the junior basketball league there are 18 teams , 1 / 3 of them are bad and ½ are rich . what ca n ' t be the number of teams that are rich and bad ?",e,general, 4 . , 6 . , 7 . , 8 . , 10 . 
418,"a city with a population of 97,500 is to be divided into 6 voting districts , and no district is to have a population that is more than 10 percent greater than the population of any other district . what is the minimum possible population that the least populated district could have ?",a,general, 15, 15, 16, 16, 17
419,"in a recent election , james received 15 percent of the 10000 votes cast . to win the election , a candidate needed to receive more than 51 percent of the vote . how many additional votes would james have needed to win the election ?",e,general, 1004 , 1000 , 3600 , 1201 , 3601 
420,how many 5 digit ( digit = 0 - 9 ) zip codes can exist in which at least one digit is repeated ?,d,general, 39760 , 49760 , 59760 , 69760 , 70000 
421,"g ( x ) is defined as the product of all even integers k such that 0 < k ≤ x . for example , g ( 14 ) = 2 × 4 × 6 × 8 × 10 × 12 × 14 . if g ( e ) is divisible by 4 ^ 11 , what is the smallest possible value for e ?",b,general, 22 , 24 , 28 , 32 , 44 
422,what will be the result of 7 ^ 8 - 6 / 2 + 9 ^ 3 + 3 + 12 ?,a,general, 95 , 64 , 1012 , 9 , 0 
423,erik ' s mother gave him $ 86 to go to the store . erik bought 3 loaves of bread and 3 cartons of orange juice . each loaf of bread cost $ 3 and each carton of orange juice cost $ 6 . how much money does erik have left ?,c,general, $ 24 , $ 27 , $ 59 , $ 75 , $ 35 
424,1 ltr of water is added with 3 ltr of a solution containing 33 % of alcohol in the water . the % of alcohol in the new mixture is ?,d,general, 22 % , 23 % , 24.5 % , 24.75 % , 30 % 
425,"a ’ s speed is 20 / 15 times that of b . if a and b run a race , what part of the length of the race should a give b as a head start , so that the race ends in a dead heat ?",d,general, 1 / 17 , 3 / 17 , 1 / 10 , 5 / 20 , 3 / 10 
426,"the sum of the even numbers between 1 and n is 81 * 82 , where n is an odd number , then n = ?",a,general, 163 , 171 , 177 , 185 , 193 
427,"saleem bought 4 baskets with the average cost of $ 4 . if saleem also buys the fifth basket with the price of $ 8 , what is the average ( arithmetic mean ) price of those 5 baskets ?",e,general, $ 4.50 , $ 6.00 , $ 4.00 , $ 5.50 , $ 4.80 
428,when n is divided by 5 the remainder is 3 . what is the remainder when n ^ 2 is divided by 5 ?,e,general, 0 , 1 , 2 , 3 , 4 
429,"this year , mbb consulting fired 9 % of its employees and left remaining employee salaries unchanged . sally , a first - year post - mba consultant , noticed that that the average ( arithmetic mean ) of employee salaries at mbb was 10 % more after the employee headcount reduction than before . the total salary pool allocated to employees after headcount reduction is what percent of that before the headcount reduction ?",b,general, 98.5 % , 100.1 % , 102.8 % , 104.5 % , 105.0 % 
430,"if k is a non - negative integer and 15 ^ k is a divisor of 823,435 then 5 ^ k - k ^ 5 =",b,general, 0 , 1 , 35 , 120 , 245 
431,"the number of the members of a club is more than 10 and less than 40 . when 3 people sit at a table , other people exactly divided to 6 - people groups ( 6 people sit at a table ) or 5 - people groups ( 5 people sit at a table ) . if the members are divided to 7 - people groups , how many people will be left ?",e,general, 0 . , 1 . , 2 . , 4 . , 5 . 
432,"what must be added to each of the numbers 7 , 11 and 19 , so that the resulting numbers may be in continued proportion ?",d,general, 3 , 5 , 4 , - 3 , - 2 
433,"find the number , difference between number and its 3 / 5 is 64 .",a,general, 160 , 163 , 164 , 165 , 166 
434,the mean proportional between 234 and 104 is :,e,general, 12 , 39 , 54 , 64 , 156 
435,"x and y are two towns . ganesh covers the distance from x to y at an average speed of 43 km / hr . however , he covers the distance from y to x at an average speed of 35 km / hr . his average speed during the whole journey in km / hr . is :",d,general, 34 , 43 , 40 , 38.6 , 29 
436,"what is the lowest positive integer that is divisible by each of the integers 1 through 8 , inclusive ?",c,general, 420 , 560 , 840 , 960 , 1080 
437,"the hcf and lcm of two numbers m and n are respectively 6 and 210 . if m + n = 60 , then 1 / m + 1 / n is equal to",c,general, 1 / 35 , 3 / 35 , 1 / 21 , 2 / 35 , none 
438,"marketing executives for a certain chewing gum company projected a 25 percent increase in revenue this year over that of last year , but revenue this year actually decreased by 25 % . what percent of the projected revenue was the actual revenue ?",c,general, 53 % , 58 % , 60 % , 64 % , 75 % 
439,a container holds 4 quarts of diesel and 4 quarts of petrol . how many quarts of water must be added to the container to create a mixture that is 3 parts dieselto 5 parts water by petrol ?,d,general, 4 / 3 , 5 / 3 , 7 / 3 , 8 / 3 , 10 / 3 
440,"if x + y = - 4 , and x = 6 / y , what is the value of x ^ 2 + y ^ 2 ?",d,general, 10 , 15 , 6 , 4 , 5 
441,"an amount of money is to be divided between p , q and r in the ratio of 3 : 7 : 12 . if the difference between the shares of p and q is rs . 2400 , what will be the difference between q and r ' s share ?",b,general, 1266 , 3000 , 2866 , 2999 , 2678 
442,a car ferry can hold up to 60 tons of cargo . what is the greatest number of vehicles that the ferry can carry if half the vehicles are cars with an average ( arithmetic mean ) weight of 0.75 tons and half of the vehicles are trucks with an average ( arithmetic mean ) weight of 4 tons ?,d,general, 12 , 16 , 20 , 24 , 28 
443,a volunteer organization is recruiting new members . in the fall they manage to increase their number by 4 % . by the spring however membership falls by 19 % . what is the total change in percentage from fall to spring ?,b,general, 16.16 % , 15.76 % , 14.14 % , 13.13 % , 12.12 % 
444,find the value of ( √ 1.21 ) / ( √ 0.81 ) + ( √ 0.81 ) / ( √ 0.49 ) is,b,general, 195 / 63 , 2.5 , 155 / 63 , 125 / 63 , 185 / 63 
445,"in august , a cricket team that played 120 matches won 20 % of the games it played . after a continuous winning streak , this team raised its average to 52 % . how many matches did the team win to attain this average ?",d,general, 40 , 52 , 68 , 80 , 98 
446,"dacid obtained 72 , 45 , 72 , 77 and 75 marks ( out of 100 ) in english , mathematics , physics , chemistry and biology . what are his average marks ?",b,general, 67 , 68 , 87 , 26 , 75 
447,a vendor buys 10 t - shirts at an average price of $ 14 per t - shirt . he then buys 15 more t - shirts at an average price of $ 11 per t - shirt . what is the average price d per t - shirt that the vendor paid for these purchases ?,a,general, $ 12.20 , $ 12.50 , $ 12.55 , $ 12.70 , $ 13.00 
448,"a certain manufacturer produces items for which the production costs consist of annual fixed costs totaling $ 120,000 and variables costs averaging $ 8 per item . if the manufacturer ’ s selling price per item is $ 12 , how many items the manufacturer produce and sell to earn an annual profit of $ 140,000 ?",e,general, 2, 18, 21, 35, 65
449,"if a - b = 4 and a 2 + b 2 = 18 , find the value of ab .",b,general, 9 , 1 , 2 , 18 , 19 
450,a batsman makes a score of 88 runs in the 17 th inning and thus increases his averages by 3 . find his average after 17 th inning ?,c,general, 19 , 29 , 40 , 49 , 59 
451,find the area between two concentric circles defined by x 2 + y 2 - 2 x + 4 y + 1 = 0 x 2 + y 2 - 2 x + 4 y - 11 = 0,b,general, 11 pi , 12 pi , 13 pi , 14 pi , 15 pi 
452,"john want to buy a $ 100 trouser at the store , but he think it ’ s too expensive . finally , it goes on sale for $ 10 . what is the percent decrease ?",a,general, 90 % , 30 % , 40 % , 70 % , 80 % 
453,"the price of 3 pants and 6 t - shirts is rs . 2250 . with the same money one can buy 1 pant and 12 t - shirts . if one wants to buy 8 t - shirts , how much shall she have to pay ?",d,general, 1300 , 1100 , 1000 , 1200 , 800 
454,"- - - - - - - - - - - - - - - - yes - - - - - - - - - no - - - - unsure subject m - - - - 500 - - - - - - - - 200 - - - - - 100 subject r - - - - 400 - - - - - - - - 100 - - - - - 300 a total of 800 students were asked whether they found two subjects , m and r , interesting . each answer was either yes or no or unsure , and the numbers of students who gave these answers are listed in the table above . if 190 students answered yes only for subject m , how many of the students did not answer yes for either subject ?",b,general, 100 , 210 , 300 , 400 , 500 
455,"in may mrs lee ' s earnings were 45 percent of the lee family ' s total income . in june mrs lee earned 20 percent more than in may . if the rest of the family ' s income was the same both months , then , in june , mrs lee ' s earnings were approximately what percent of the lee family ' s total income ?",a,general, 50 % , 68 % , 72 % , 76 % , 80 % 
456,217 * 217 + 183 * 183,c,general, 70578 , 82578 , 80578 , 80568 , 89045 
457,the positive number z is divisible by 4 . what is the remainder of dividing z ( 2 + 4 + z ) + 3 by 2 ?,b,general, 0 , 1 , 2 , 3 , 4 
458,what is the value of ( 2 ) ^ - 6 ?,b,general, 1 / 62 , 1 / 64 , 1 / 65 , 1 / 66 , 1 / 67 
459,find the numbers which are in the ratio 5 : 2 : 4 such that the sum of the first and the second added to the difference of the third and the second is 18 ?,c,general, 4 , 4 , 10 , 9 , 9 
460,the total age of a and b is 11 years more than the total age of b and c . c is how many years younger than a . ?,c,general, 16 , 12 , 11 , 20 , 10 
461,"lagaan is levied on the 60 percent of the cultivated land . the revenue department collected total rs . 3 , 44,000 through the lagaan from the village of mutter . mutter , a very rich farmer , paid only rs . 480 as lagaan . the percentage of total land of mutter over the total taxable land of the village is :",a,general, 0.23255 , 0.14544 , 0.25632 , 0.35466 , 0.63435 
462,"s = { 2 , 3 , 4 , 5 } b = { 4 , 5 , 6 , 7 , 8 } two integers will be randomly selected from the sets above , one integer from set s and one integer from set b . what is the probability that the sum of the two integers will equal 9 ?",b,general, 0.15 , 0.20 , 0.25 , 0.30 , 0.33 
463,"every student in a room is either a junior or a senior . there is at least one junior and at least one senior in the room . if 1 / 3 of the juniors is equal to 4 / 3 of the seniors , what fraction of the students in the room are juniors ?",e,general, 3 / 20 , 1 / 3 , 5 / 2 , 2 / 7 , 4 / 5 
464,how many 7 in between 1 to 130 ?,d,general, 18 , 20 , 22 , 23 , 24 
465,"given that 100.48 = x , 100.70 = y and xz = y ² , then the value of z is close to",d,general, 1.2 , 1.45 , 2.2 , 2.9 , none 
466,"a certain car traveled twice as many miles from town a to town b as it did from town b to town c . from town a to town b , the car averaged 20 miles per gallon , and from town b to town c , the car averaged 25 miles per gallon . what is the average miles per gallon that the car achieved on its trip from town a through town b to town c ?",c,general, 20 , 18 , 21.4 , 16 , 10 
467,sum of the squares of 3 no . ' s is 267 and the sum of their products taken two at a time is 131 . find the sum ?,d,general, 20 , 24 , 26 , 23 , 30 
468,"the average age of 10 students in a class is 15 years . if the age of teacher is also included , the average becomes 16 years , find the age of the teacher .",b,general, 30 , 26 , 28 , 29 , 45 
469,"every letter in the alphabet has a number value that is equal to its place in the alphabet . thus , the letter a has a value of 1 , the letter b has a value of 2 , the letter c has a value of 3 , etc . . . the number value of a word is obtained by adding up the value of the letters in the word and then multiplying that sum by the length of the word . what is the number value of the word ` ` cow ' ' ?",b,general, 120 , 123 , 126 , 129 , 132 
470,"a straight line in the xy - plane has y - intercept of 79 and slope of 6 . on this line the y - coordinate of the point is 14 , then what is the x - coordinate of the point ?",b,general, 11 , - 10.83 , 71 , 20.83 , - 12 
471,3550 - ( 1002 / 20.04 ) = ?,c,general, 2984 , 2983 , 3500 , 2981 , none of these 
472,"two ants , arthur and amy , have discovered a picnic and are bringing crumbs back to the anthill . amy makes twice as many trips and carries one and a half times as many crumbs per trip as arthur . if arthur carries a total of z crumbs to the anthill , how many crumbs will amy bring to the anthill , in terms of z ?",e,general, z / 2 , z , 3 z / 2 , 2 z , 3 z 
473,"a , b and c rents a pasture for rs . 435 . a put in 12 horses for 8 months , b 16 horses for 9 months and 18 horses for 6 months . how much should c pay ?",a,general, 135 , 227 , 268 , 198 , 176 
474,a waiter ' s salary consists of his salary and tips . during one week his tips were 3 / 4 of his salary . what fraction of his income came from tips ?,a,general, 3 / 7 , 5 / 4 , 5 / 8 , 5 / 9 , 6 / 9 
475,the least number which must be subtracted from 509 to make it exactly divisible by 9 is :,c,general, a ) 2 , b ) 3 , c ) 5 , d ) 5 , e ) 6 
476,"if x / y = 9 / 8 , then ( 8 x + 7 y ) / ( 8 x â € “ 7 y ) = ?",a,general, 8 , 7 , 10 , 9 , 6 
477,"the ages of two persons differ by 16 years . if 5 years ago , the elder one be 5 times as old as the younger one , their present ages ( in years ) are respectively",c,general, 20, 20, 25, 30, none of these 
478,"in a certain brick wall , each row of bricks above the bottom row contains one less brick than the row just below it . if there are 5 rows in all and a total of 50 bricks in the wall , how many bricks does the bottom row contain ?",d,general, 12 , 10 , 9 , 8 , 11 
479,"if 17 ^ 4 * 13 ^ 4 * 9 ^ 4 * 8 ^ 4 = x , what is the units digit of x ?",c,general, 8 , 3 , 6 , 7 , 9 
480,"mark bought a set of 6 flower pots of different sizes at a total cost of $ 8.25 . each pot cost 0.15 more than the next one below it in size . what was the cost , in dollars , of the largest pot ?",a,general, $ 1.75 , $ 1.85 , $ 2.00 , $ 2.15 , $ 2.30 
481,"if a = 1 , what is the value of – ( a ^ 2 + a ^ 3 + a ^ 4 + a ^ 5 + a ^ 6 ) ?",e,general, - 14 , - 4 , 0 , 4 , - 5 
482,"a positive number x is multiplied by 2 , and this product is then divided by 5 . if the positive square root of the result of these two operations equals x , what is the value of x ?",b,general, 9 / 4 , 3 / 2 , 4 / 3 , 2 / 3 , 1 / 2 
483,"if the number 892 , 132,26 x is divisible by 11 , what must be the value of x ?",c,general, 1 , 2 , 3 , 4 , 5 
484,"if a and b are integers and ( a * b ) ^ 5 = 144 y , y could be :",e,general, 40 , 48 , 56 , 62 , 54 
485,"on dividing 23 by a number , the quotient is 4 and the remainder is 3 . find the divisor .",d,general, 1 , 2 , 4 , 5 , 7 
486,"how many integers between 324,700 and 436,600 have tens digit 1 and units digit 3 ?",d,general, 327 , 645 , 987 , 1119 , 1339 
487,"plaudia can choose any two of 4 different candles and any 8 of 9 different flowers for a centerpiece arrangement . given these choices , how many candle + flower groupings can she select ?",a,general, 54 , 72 , 96 , 144 , 432 
488,"for an agricultural experiment , 300 seeds were planted in one plot and 200 were planted in a second plot . if exactly 30 percent of the seeds in the first plot germinated and exactly 35 percent of the seeds in the second plot germinated , what percent of the total number of seeds germinated ?",d,general, 12 % , 26 % , 29 % , 32 % , 60 % 
489,"ifaequals the sum of the even integers from 2 to 20 , inclusive , andbequals the sum of the odd integers from 1 to 19 , inclusive , what is the value of a + b ?",e,general, 110 , 100 , 190 , 200 , 210 
490,a batsman in his 17 th innings makes a score of 85 and their by increasing his average by 3 . what is his average after the 17 th innings ?,d,general, 28 , 27 , 12 , 37 , 01 
491,"p , q and r have $ 9000 among themselves . r has two - thirds of the total amount with p and q . find the amount with r ?",b,general, 2400 , 3600 , 3998 , 2539 , 1930 
492,"the sum of the present ages of two persons a and b is 60 . if the age of a is twice that of b , find the sum of their ages 2 years hence ?",c,general, 58 , 59 , 64 , 70 , 74 
493,what is the units digit of the expression 13 ^ 27 + 1 ?,d,general, 1 , 3 , 4 , 8 , 9 
494,"a is two years older than b who is twice as old as c . if the total of the ages of a , b and c be 42 , the how old is b ?",a,general, 16 , 9 , 8 , 11 , 10 
495,calculate the ratio between x and y if 15 % of x equal to 50 % of y ?,d,general, 3 : 5 , 3 : 7 , 3 : 8 , 3 : 10 , 3 : 9 
496,the product of 3 consecutive numbers is 210 . then the sum of the smallest two numbers is ?,a,general, 11 , 15 , 20 , 38 , 56 
497,"how many integers between 263,205 and 658,805 have tens digit 1 and units digit 3 ?",c,general, 3, 3, 3, 3, 3
498,"ashok secured average of 75 marks in 6 subjects . if the average of marks in 5 subjects is 74 , how many marks did he secure in the 6 th subject ?",e,general, 38 , 27 , 99 , 17 , 80 
499,"the sum of number of boys and girls in a school is 400 . if the number of boys is x , then the number of girls becomes x % of the total number of students . the number of boys is ?",d,general, 50 , 40 , 60 , 80 , 70 
500,"a customer bought a product at the shop . however , the shopkeeper increased the price of the product by 15 % so that the customer could not buy the required amount of the product . the customer managed to buy only 60 % of the required amount . what is the difference in the amount of money that the customer paid for the second purchase compared to the first purchase ?",c,general, 27 % , 29 % , 31 % , 33 % , 35 % 
501,"if xy = 1 , x / y = 36 , for positive numbers x and y , y = ?",e,general, 1 / 2 , 2 , 1 / 3 , 3 , 1 / 6 
502,for covering 88 km a wheel revolve 1000 times . what is the radius of wheel ?,c,general, 14 m , 24 m , 28 m , 40 m , none of the above 
503,find the least number must be subtracted from 427398 so that remaining no . is divisible by 15 ?,b,general, 2 , 3 , 5 , 7 , 8 
504,"if 15 students in a class average 73 % on an exam and 10 students average 88 % on the same exam , what is the average in percent for all 25 students ?",c,general, 77 % , 78 % , 79 % , 80 % , 81 % 
505,"if the price of a tv is first decreased by 10 % and then increased by 30 % , then the net change in the price will be :",b,general, 4 % increase , 17 % increase , 10 % decrease , 6 % increase , none of these 
506,"the difference between the ages of two persons is 30 years . fifteen years ago , the elder one was twice as old as the younger one . the present age of the younger person is ?",c,general, 30 yr , 25 yr , 45 yr , 40 yr , 50 yr 
507,"a store owner estimates that the average price of type a products will increase by 20 % next year and that the price of type b products will increase by 11 % next year . this year , the total amount paid for type a products was $ 3500 and the total price paid for type b products was $ 8600 . according to the store owner ' s estimate , and assuming the number of products purchased next year remains the same as that of this year , how much will be spent for both products next year ?",a,general, $ 13, $ 15, $ 16, $ 16, $ 17
508,"a soft drink company had 6000 small and 10000 big bottles in storage . if 12 % of small 15 % of big bottles have been sold , then the total bottles remaining in storage is",b,general, 15360 , 13780 , 15060 , 14930 , 16075 
509,"in a race where 18 cars are running , the chance that car x will win is 1 / 8 , that y will win is 1 / 12 and that z will win is 1 / 6 . assuming that a dead heat is impossible , find the chance that one of them will win .",d,general, 1 / 140 , 1 / 180 , 3 / 12 , 3 / 8 , 57 / 120 
510,the average marks of 25 students in a class is 100 . but a student mark is wrongly noted as 60 instead of 10 then find the correct average marks ?,c,general, a ) 78 , b ) 82 , c ) 98 , d ) 91 , e ) 85 
511,"what is the sum of the local values of the digits 2 , 3 , 4 , 5 in the number 2345 ?",a,general, 2345 , 4500 , 5000 , 6000 , 7000 
512,54671 - 14456 - 33490 = ?,d,general, 2449 , 5449 , 6749 , 6725 , 6468 
513,"if p and q are positive integers each greater than 1 , and 17 ( p + 1 ) = 28 ( q + 1 ) , what is the least possible value of p + q ?",d,general, 36 , 42 , 44 , 43 , none 
514,when a number is divided by 4 & then multiply by 12 the answer is 9 what is the no . ?,a,general, 3 , 5 , 5.6 , 5.7 , 6.5 
515,"a toy store ' s revenue in november was 3 / 5 of its revenue in december and its revenue in january was 3 / 4 of its revenue in november , then the store ' s revenue in december was how many times the average ( arithmetic mean ) of its revenues in november and january ?",d,general, 1 / 4 , 1 / 2 , 2 / 3 , 2 , 4 
516,"of the goose eggs laid at a certain pond , 1 / 4 hatched and 4 / 5 of the geese that hatched from those eggs survived the first month . of the geese that survived the first month , 2 / 5 did not survive the first year . if 120 geese survived the first year and if no more than one goose hatched from each egg , how many goose eggs were laid at the pond ?",e,general, 600 , 700 , 800 , 900 , 1000 
517,calculate the average of first 18 even numbers is ?,c,general, 21 , 29 , 19 , 14 , 10 
518,"on dividing a number by 56 , we get 29 as remainder . on dividing the same number by 8 , what will be the remainder ?",a,general, 5 , 7 , 9 , 11 , 12 
519,"given that p is a positive even integer with a positive units digit , if the units digit of p ^ 3 minus the units digit of p ^ 2 is equal to 0 , what is the units digit of p + 2 ?",b,general, 7 , 8 , 9 , 10 , 11 
520,dan ' s age after 18 years will be 5 times his age 6 years ago . what is the present age of dan ?,c,general, 8 , 10 , 12 , 14 , 16 
521,"the proportion of water to alcohol in solution a is 5 : 4 and the proportion of water to alcohol in solution b is 6 : 5 . if an equal amount of each solution is mixed together , what is the concentration of alcohol in the new solution ?",e,general, 40.9 % , 41.9 % , 42.9 % , 43.9 % , 44.9 % 
522,"the sum of digits of a two digit number is 10 , the difference between the digits is 6 . find the number",c,general, 85 , 94 , 82 , 72 , none 
523,"tough and tricky questions : word problems . a salesman ' s income consists of commission and base salary . his weekly income totals over the past 5 weeks have been $ 406 , $ 413 , $ 420 , $ 436 and $ 395 . what must his average ( arithmetic mean ) income over the next two weeks be to decrease his average weekly income to $ 400 over the 7 - week period ?",c,general, $ 350 , $ 400 , $ 365 , $ 385 , $ 375 
524,"let s be the set of all positive integers that , when divided by 8 , have a remainder of 5 . what is the 72 th number in this set ?",a,general, 573 , 608 , 613 , 616 , 621 
525,how many positive integers will divide evenly into 190 ?,c,general, 4 , 6 , 8 , 12 , 16 
526,"solution x is 10 percent alcohol by volume , and solution y is 30 percent alcohol by volume . how many milliliters of solution y must be added to 50 milliliters of solution x to create a solution that is 25 percent alcohol by volume ?",a,general, 150 , 500 / 3 , 400 , 480 , 600 
527,"in a certain quiz that consists of 10 questions , each question after the first is worth 4 points more than the preceding question . if the 10 questions on the quiz are worth a total of 400 points , how many points is the third question worth ?",e,general, 14 , 18 , 22 , 26 , 30 
528,a pharmaceutical company received $ 5 million in royalties on the first $ 40 million in sales of and then $ 9 million in royalties on the next $ 210 million in sales . by approximately what percentage did the ratio of royalties to sales decrease from the first $ 40 million in sales to the next $ 210 million in sales ?,e,general, 8 % , 15 % , 45 % , 52 % , 66 % 
529,"shipment - - - no . of defective chips / shipment - - - total chips in shipment s 1 - - - - - - - - - - - - - - - - - - - - - - 2 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 5000 s 2 - - - - - - - - - - - - - - - - - - - - - - 4 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 12000 s 3 - - - - - - - - - - - - - - - - - - - - - - 2 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 15000 s 4 - - - - - - - - - - - - - - - - - - - - - - 4 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 16000 a computer chip manufacturer expects the ratio of the number of defective chips to the total number of chips in all future shipments to equal the corresponding ratio for shipments s 1 , s 2 , s 3 , and s 4 combined , as shown in the table above . what ’ s the expected number of defective chips in a shipment of 60000 chips ?",e,general, 14 , 20 , 22 , 24 , 15 
530,3 / 4 of 1 / 2 of 2 / 5 of 5020 = ?,c,general, 392 , 229 , 753 , 493 , 540 
531,"an auto assembly plant performs 6 functions with each frame that arrives : add axles , add wheels to the axles , install the windshield to the frame , install the instrument panel , install the steering wheel , and install the interior seating . once those 6 tasks are performed , each car goes to a separate building for finishing touches . if these tasks can be arranged along a linear assembly line in any order , except that the axles must be installed before the wheels can be added , how many t ways can the assembly line be arranged ?",c,general, 120 , 240 , 360 , 480 , 720 
532,the average marks of a class of 30 students is 30 and that of another class of 50 students is 60 . find the average marks of all the students ?,d,general, 52.5 , 52.9 , 52.1 , 48.75 , 42.5 
533,john purchased 1300 large bottles at $ 1.89 per bottle and 750 small bottles at $ 1.38 per bottle . what was the approximate average price paid per bottle ?,d,general, $ 1.63 , $ 1.64 , $ 1.68 , $ 1.70 , $ 1.76 
534,"if 2 ^ 4 , 3 ^ 3 , and 12 ^ 3 are factors of the product of 1,452 and w , where w is a positive integer , what is the smallest possible value of w ?",c,general, 198 , 288 , 432 , 396 , 484 
535,"for all positive integers m and v , the expression m θ v represents the remainder when m is divided by v . what is the value of ( ( 94 θ 33 ) θ 17 ) - ( 96 θ ( 33 θ 17 ) ) ?",d,general, - 10 , - 2 , 8 , 13 , 17 
536,"a sports equipment store sold ping pong rackets for a total of $ 735 . if the average ( arithmetic mean ) price of a pair of rackets is $ 9.8 , how many pairs were sold ?",e,general, 50 , 100 , 490 , 500 , 75 
537,"divide rs . 3250 among a , b and c so that a receives 1 / 5 as much as b and c together and b receives 2 / 3 as a and c together . b ' s share is ?",d,general, 6500 , 3250 , 1100 , 1300 , 1200 
538,the mean of 50 observations is 200 . but later he found that there is decrements of 15 from each observations . what is the the updated mean is ?,b,general, 150 , 185 , 190 , 210 , 220 
539,"the average of 10 numbers was calculated as 18 . it is discovered later on that while calculating the average , one number , namely 66 , was incorrectly read as 26 . what is the correct average ?",c,general, 20 , 21 , 22 , 23 , 24 
540,"each child has 5 crayons and 14 apples . if there are 10 children , how many crayons are there in total ?",e,general, 22 , 65 , 12 , 36 , 50 
541,"how many integers between 1 and 1050 are divisible by 10 , 25 , and 35 ?",e,general, 4 , 5 , 6 , 7 , 3 
542,"78 , 64 , 48 , 30 10 , ( . . . )",a,general, - 12 number , - 14 , 2 , 8 , 6 
543,"if the average ( arithmetic mean ) of ( 2 a + 16 ) and ( 3 a - 8 ) is 79 , what is the value of a ?",b,general, 25 , 30 , 28 , 36 , 42 
544,"we run a business that rents out canoes and kayaks . a canoe rental costs $ 12 per day , and a kayak rental costs $ 18 dollars per day . one day , our business rents out 3 canoes for every 2 kayaks and receives a total of $ 504 in revenue . how many more canoes than kayaks were rented out ?",c,general, 5 , 6 , 7 , 8 , 9 
545,the average of runs of a cricket player of 20 innings was 32 . how many runs must he make in his next innings so as to increase his average of runs by 4 ?,d,general, 96 , 106 , 122 , 116 , 122 
546,"a cube with its sides numbered 1 through 6 is rolled twice , first landing on a and then landing on b . if any roll of the cube yields an equal chance of landing on any of the numbers 1 through 6 , what is the probability r that a + b is prime ?",c,general, 0 , 1 / 12 , 5 / 12 , 7 / 18 , 4 / 9 
547,find the value for x from below equation : x / 3 = - 6 ?,d,general, - 16 , 11 , - 12 , - 18 , 14 
548,"dacid obtained 51 , 65 , 82 , 67 and 85 marks ( out of 100 ) in english , mathematics , physics , chemistry and biology . what are his average marks ?",d,general, 29 , 38 , 39 , 70 , 75 
549,in a mixture of 45 litres the ratio of milk to water is 4 : 1 . additional 23 litres of water is added to the mixture . find the ratio of milk to water in the resulting mixture .,a,general, 9 / 8 , 4 / 1 , 2 / 3 , 3 / 4 , 3 / 2 
550,"if two integers x , y ( x > y ) are selected from - 5 to 5 ( inclusive ) , how many cases are there ?",a,general, 55 , 60 , 65 , 70 , 75 
551,"if x and y are positive integers and 5 + x + y + xy = 19 , what is the value of x + y ?",c,general, 3 , 5 , 6 , 8 , 9 
552,"the total marks obtained by a student in physics , chemistry and mathematics is 150 more than the marks obtained by him in physics . what is the average mark obtained by him in chemistry and mathematics ?",a,general, 75 , 66 , 55 , 44 , 12 
553,"at a contest with 3000 participants , 1 / 2 of the people are aged 8 to 14 . next year , the number of people aged 8 to 14 will increase by 1 / 6 . after this change , what percentage of the total 3000 people will the 8 - to 14 - year - olds represent ?",c,general, 53.33 % , 50 % , 58.33 % , 55.33 % , 68 % 
554,"if henry were to add 7 gallons of water to a tank that is already 3 / 4 full of water , the tank would be 7 / 8 full . how many gallons of water would the tank hold if it were full ?",e,general, 25 , 40 , 64 , 80 , 56 
555,the average weight of 16 boys in a class is 50.25 kgs and that of the remaining 8 boys is 45.15 kgs . find the average weight of all the boys in the class .,c,general, 47.55 kgs , 48 kgs , 48.55 kgs , 49.25 kgs , none of these 
556,"of the 150 employees at company x , 50 are full - time , and 100 have worked at company x for at least a year . there are 20 employees at company x who aren ’ t full - time and haven ’ t worked at company x for at least a year . how many full - time employees of company x have worked at the company for at least a year ?",a,general, 20 , 30 , 50 , 80 , 100 
557,the simple interest on a sum of money will be rs . 500 after 10 years . if the principal is trebled after 5 years what will be the total interest at the end of the tenth year ?,e,general, 2261 , 2888 , 1200 , 2699 , 900 
558,from 4 officers and 8 jawans in how many can 6 be chosen to include exactly one officer ?,e,general, 150 , 164 , 259 , 311 , 224 
559,the tax on a commodity is diminished by 22 % and its consumption increased by 11 % . the effect on revenue is ?,e,general, 8 , 6 , 5 , 4 , 2 
560,"if an integer n is to be chosen at random from the integers 1 to 96 , inclusive , what is the probability that n ( n + 1 ) ( n + 2 ) will be divisible by 16 ?",d,general, 1 / 4 , 3 / 8 , 1 / 2 , 9 / 16 , 3 / 4 
561,a football player scores 4 goals in his fifth match thus increasing his average goals score by 0.2 . the total number of goals in his 5 matches would be,e,general, 4 , 6 , 8 , 10 , 16 
562,the unit digit in the product 784 * 618 * 917 * 463 is ?,b,general, 3 , 2 , 4 , 5 , 6 
563,"what is the smallest positive integer that leaves a remainder of 1 when divided by 2 , remainder of 2 when divided by 3 , a remainder of 3 when divided by 4 , and a remainder of 9 when divided by 10 ?",b,general, 58 , 59 , 60 , 61 , 62 
