,Problem,correct,category,option_a,option_b,option_c,option_d,option_e
1104,convert 2.5 hectares in ares,e,physics, 130 ares . , 160 ares . , 180 ares . , 230 ares . , 250 ares . 
1105,"two pipes a and b can separately fill a cistern in 24 minutes and 48 minutes respectively . there is a third pipe in the bottom of the cistern to empty it . if all the three pipes are simultaneously opened , then the cistern is full in 12 minutes . in how much time , the third pipe alone can empty the cistern ?",b,physics, 90 min , 48 min , 54 min , 120 min , 130 min 
1106,"a can do a piece of work in 20 days , and b can do it in 15 days . how long will they take if both work together ?",b,physics, 7 days , 8.6 days , 13 days , 5.6 days , 10 days 
1107,22 buckets of water fill a tank when the capacity of each bucket is 13.5 litres . how many buckets will be required to fill the same tank if the capacity of each bucket is 9 litres ?,a,physics, 33 , 32 , 60 , data inadequate , none of these 
1108,8 machines can do a work in 10 days . how many machines are needed to complete the work in 40 days ?,a,physics, 2 , 6 , 4 , 7 , 5 
1109,"along a yard 414 metres long , 24 trees are palnted at equal distances , one tree being at each end of the yard . what is the distance between two consecutive trees",a,physics, 18 , 19 , 10 , 11 , 12 
1110,a hall 20 m long and 15 m broad is surrounded by a verandah of uniform width of 2.5 m . the cost of flooring the verandah at the rate of rs . 3.50 per sq . meter is,d,physics, 500 , 600 , 650 , 700 , 750 
1111,"a man rows his boat 90 km downstream and 55 km upstream , taking 3 hours each time . find the speed of the stream ?",b,physics, 76 kmph , 6 kmph , 14 kmph , 8 kmph , 4 kmph 
1112,"the speed at which a girl can row a boat in still water is 30 kmph . if she rows downstream , where the speed of current is 6 kmph , what time will he take to cover 240 metres ?",e,physics, 21 , 22 , 23 , 20 , 24 
1113,two trains of length 100 m and 280 m are running towards each other on parallel lines at 42 kmph and 30 kmph respectively . in what time will they be clear of each other from the moment they meet ?,e,physics, 10 sec , 32 sec , 82 sec , 20 sec , 19 sec 
1114,"if 12 men can reap 120 acres of land in 36 days , how many acres of land can 24 men reap in 62 days ?",b,physics, 266.5 , 413.3 , 425.8 , 189.3 , 249.6 
1115,a car travels at a speed of 10 miles per hour . how far will it travel in 5 hours ?,a,physics, 50 miles , 62 miles , 325 miles , 70 miles , 20 miles 
1116,"if 42 men do a work in 25 days , in how many days will 50 men do it ?",e,physics, 23 , 22 , 19 , 20 , 21 
1117,a train 250 meters long completely crosses a 300 meters long bridge in 45 seconds . what is the speed of the train is ?,d,physics, 32 , 28 , 29 , 44 , 21 
1118,"an outlet pipe can empty 2 / 3 of a cistern in 16 minutes . in 4 minutes , what part of the cistern will be emptied ?",d,physics, 1 / 2 , 1 / 3 , 1 / 4 , 1 / 6 , 1 / 8 
1119,"bruce and anne can clean their house in 4 hours working together at their respective constant rates . if anne ’ s speed were doubled , they could clean their house in 3 hours working at their respective rates . how many hours does it currently take anne to clean the house on her own ?",d,physics, 6 , 7 , 8 , 12 , 14 
1120,"a car traveling at a certain constant speed takes 2 seconds longer to travel 1 kilometer than it would take to travel 1 kilometer at 300 kilometers per hour . at what speed , in kilometers per hour , is the car traveling ?",a,physics, 300 , 320 , 330 , 340 , 290 
1121,a train of length 250 m crosses a bridge of length 120 m in 20 seconds . what is the speed of train ?,c,physics, 33 , 27 , 66.6 , 22 , 72 
1122,"a taxi leaves point a 5 hours after a bus left the same spot . the bus is traveling 10 mph slower than the taxi . find the speed of the taxi , if it overtakes the bus in three hours .",d,physics, 20 , 24 , 32 , 16 , 40 
1123,how many seconds will a 400 metre long train take to cross a man walking with a speed of 3 km / hr in the direction of the moving train if the speed of the train is 63 km / hr ?,a,physics, 24 , 30 , 40 , 45 , 50 
1124,a 240 meter long train crosses a man standing on the platform in 4 sec . what is the speed of the train ?,c,physics, 176 kmph , 108 kmph , 216 kmph , 134 kmph , 161 kmph 
1125,"a boat running downstream covers a distance of 10 km in 3 hr while for covering the same distance upstream , it takes 6 hr . what is the speed of the boat ?",a,physics, 2.5 kmph , 3.5 kmph , 4.5 kmph , 1.5 kmph , 9.5 kmph 
1126,"a fort had provision of food for 150 men for 45 days . after 15 days , 25 men left the fort . the number of days for which the remaining food will last , is :",a,physics, 36 , 37 1 / 4 , 42 , 54 , 48 
1127,the length of a room is 8 m and width is 4.75 m . what is the cost of paying the floor by slabs at the rate of rs . 900 per sq . metre .,e,physics, 25650 , 25750 , 26550 , 26750 , 34200 
1128,"a and b runs around a circular track . a beats b by one round or 10 minutes . in this race , they had completed 4 rounds . if the race was only of one round , find the a ' s time over the course :",b,physics, 8.5 min', 7.5 min', 1.5 min', 9.5 min', 4.5 min'] 
1129,a certain industrial loom weaves 0.127 meters of cloth every second . approximately how many seconds will it take for the loom to weave 15 meters of cloth ?,e,physics, 114 , 115 , 116 , 117 , 118 
1130,"two cars start from the opposite places of a main road , 150 km apart . first car runs for 30 km and takes a right turn and then runs 15 km . it then turns left and then runs for another 25 km and then takes the direction back to reach the main road . in the mean time , due to minor break down the other car has run only 35 km along the main road . what would be the distance between two cars at this point ?",c,physics, 65 , 38 , 60 , 28 , 21 
1131,mary can do a piece of work in 11 days . rosy is 10 % more efficient than mary . the number of days taken by rosy to do the same piece of work is ?,a,physics, 10 , 15 , 20 , 25 , 30 
1132,"a train leaves mumabai at 9 am at a speed of 40 kmph . after one hour , another train leaves mumbai in the same direction as that of the first train at a speed of 80 kmph . when and at what distance from mumbai do the two trains meet ?",c,physics, 87 , 279 , 80 , 278 , 379 
1133,"in what time will a train 100 m long cross an electric pole , it its speed be 126 km / hr ?",d,physics, 2.5 , 2.9 , 2.4 , 2.85 , 2.1 
1134,"youseff lives x blocks from his office . it takes him 1 minute per block to walk to work and 20 seconds per block to ride his bike to work . it is takes him exactly 8 minutes more to walk to work than to ride his bike to work , then x equals ?",c,physics, 4 , 7 , 12 , 15 , 20 
1135,a and b go around a circular track of length 300 m on a cycle at speeds of 18 kmph and 54 kmph . after how much time will they meet for the first time at the starting point ?,c,physics, 120 sec , 198 sec , 60 sec , 665 sec , 276 sec 
1136,"a leak in the bottom of a tank can empty the full tank in 6 hours . an inlet pipe fills water at the rate of 4 litres a minute . when the tank is full , the inlet is opened and due to the leak the tank is empty in 8 hours . the capacity of the tank ( in litres ) is",c,physics, 5780 litres , 5770 litres , 5760 litres , 5750 litres , 5740 litres 
1137,david and andrew can finish the work 12 days if they work together . they worked together for 8 days and then andrew left . david finished the remaining work in another 8 days . in how many days david alone can finish the work ?,e,physics, 30 days , 60 days , 70 days , 80 days , 24 days 
1138,"two trains start from p and q respectively and travel towards each other at a speed of 50 km / hr and 40 km / hr respectively . by the time they meet , the first train has traveled 100 km more than the second . the distance between p and q is ?",a,physics, 900 km , 300 km , 700 km , 800 km , 100 km 
1139,a 300 meter long train crosses a pla ƞ orm in 39 seconds while it crosses a signal pole in 18 seconds . what is the length of the pla ƞ orm .,d,physics, 310 meter , 335 meter , 345 meter , 350 meter , none of these 
1140,in a soap company a soap is manufactured with 11 parts . for making one soap you will get 1 part as scrap . at the end of the day you have 251 such scraps . from that how many soaps can be manufactured ?,b,physics, 24 , 25 , 26 , 27 , 28 
1141,"a garrison of 1850 men has provisions for 28 days . at the end of 12 days , a reinforcement arrives , and it is now found that the provisions will last only for 10 days more . what is the reinforcement ?",d,physics, 1850 , 2960 , 3000 , 1110 , 1712 
1142,a train 150 m long is running at a speed of 62 kmph . how long does it take to pass a man who is running at 8 kmph in the same direction as the train ?,b,physics, 5 sec , 10 sec , 12 sec , 18 sec , 15 sec 
1143,"jamshid can paint a fence in 50 percent less time than taimour can when each works alone . when they work together , they can paint the fence in 5 hours . how long would it take taimour to paint the fence alone ?",c,physics, 6 hours , 8 hours , 15 hours , 24 hours , 32 hours 
1144,"a man can row upstream at 15 kmph and downstream at 25 kmph , and then find the speed of the man in still water ?",d,physics, 27 , 29 , 30 , 20 , 24 
1145,a 160 meter long train crosses a man standing on the platform in 12 sec . what is the speed of the train ?,a,physics, 48 kmph , 54 kmph , 92 kmph , 86 kmph , 76 kmph 
1146,"if a truck is traveling at a constant rate of 72 kilometers per hour , how many seconds will it take the truck to travel a distance of 600 meters ? ( 1 kilometer = 1000 meters )",c,physics, 18 , 24 , 30 , 36 , 48 
1147,"a , b and c , each working alone can complete a job in 6 , 8 and 12 days respectively . if all three of them work together to complete a job and earn $ 2340 , what will be c ' s share of the earnings ?",b,physics, $ 1100 , $ 520 , $ 1080 , $ 1170 , $ 630 
1148,"if daily wages of a man is double to that of a woman , how many men should work for 25 days to earn rs . 14400 ? given that wages for 40 women for 30 days are rs . 21600 .",c,physics, 12 , 14 , 16 , 18 , 20 
1149,the speed of a car is 90 km in the first hour and 40 km in the second hour . what is the average speed of the car ?,d,physics, 12 , 75 , 88 , 65 , 15 
1150,"two trains , each 100 m long , moving in opposite directions , cross other in 12 sec . if one is moving twice as fast the other , then the speed of the faster train is ?",b,physics, 26 km / hr , 40 km / hr , 60 km / hr , 77 km / hr , 46 km / hr 
1151,"three pipes of same capacity can fill a tank in 8 hours . if there are only two pipes of same capacity , the tank can be filled in ?",b,physics, 08 hours , 12 hours , 03 hours , 04 hours , 21 hours 
1152,"if dev works alone he will take 20 more hours to complete a task than if he worked with tina to complete the task . if tina works alone , she will take 5 more hours to complete the complete the task , then if she worked with dev to complete the task ? what is the ratio of the time taken by dev to that taken by tina if each of them worked alone to complete the task ?",b,physics, 4 : 1 , 2 : 1 , 10 : 1 , 3 : 1 , 1 : 2 
1153,a train 140 m long is running with a speed of 50 km / hr . in what time will it pass a man who is running at 4 km / hr in the direction opposite to that in which the train is going ?,c,physics, 8.1 , 7.0 , 9.33 , 8 , 9 
1154,a train 110 m long is running with a speed of 40 km / hr . in what time will it pass a man who is running at 5 km / hr in the direction opposite to that in which the train is going ?,d,physics, 5 , 6 , 7.5 , 8.8 , 9 
1155,"john and steve are speed walkers in a race . john is 15 meters behind steve when he begins his final push . john blazes to the finish at a pace of 4.2 m / s , while steve maintains a blistering 3.8 m / s speed . if john finishes the race 2 meters ahead of steve , how long was john ’ s final push ?",e,physics, 13 seconds , 17 seconds , 26 seconds , 34 seconds , 42.5 seconds 
1156,suresh can complete a job in 15 hours . ashutosh alone can complete the same job in 30 hours . suresh works for 9 hours and then the remaining job is completed by ashutosh . how many hours will it take ashutosh to complete the remaining job alone ?,d,physics, 4 , 5 , 6 , 12 , none of these 
1157,"a can complete a project in 20 days and b can complete the same project in 30 days . if a and b start working on the project together and a quits 15 days before the project is completed , in how many days total will the project be completed ?",b,physics, 18 , 21 , 24 , 27 , 30 
1158,"sarah is driving to the airport . after driving at 25 miles per hour for one hour , she realizes that if she continues at that same average rate she will be an hour late for her flight . she then travels 50 miles per hour for the rest of the trip , and arrives 30 minutes before her flight departs . how many miles did she drive in all ?",a,physics, 100 , 175 , 210 , 245 , 280 
1159,"two trains start from p and q respectively and travel towards each other at a speed of 50 km / hr and 40 km / hr respectively . by the time they meet , the first train has travelled 100 km more than the second . the distance between p and q is :",c,physics, 500 km , 630 km , 900 km , 660 km , none 
1160,a is thrice as good a workman as b and takes 10 days less to do a piece of work than b takes . b alone can do the whole work in,a,physics, 15 days , 10 days , 9 days , 8 days , 7 days 
1161,"pipe a can fill a tank in 60 min . there is a second pipe in the bottom of the cistern to empty it . if all the two pipes are simultaneously opened , then the cistern is full in 180 min . in how much time , the second pipe alone can empty the cistern ?",b,physics, 60 min , 45 min , 90 min , 70 min , 30 min 
1162,"ram , who is half as efficient as krish , will take 30 days to complete a task if he worked alone . if ram and krish worked together , how long will they take to complete the task ?",b,physics, 16 days , 10 days , 8 days , 6 days , 18 days 
1163,"on the first day of her vacation , louisa traveled 200 miles . on the second day , traveling at the same average speed , she traveled 350 miles . if the 200 - mile trip took 3 hours less than the 350 - mile trip , what was the average speed , in miles per hour ?",e,physics, 45 , 55 , 60 , 65 , 50 
1164,"while working alone at their respective constant rates , server g uploads 480 files in 4 hours and server y uploads 480 files in 8 hours . if all files uploaded by these servers are the same size , how long would it take the two servers , working at the same time and at their respective constant rates , to process a total of 480 files ?",c,physics, 2 hr , 2 hr 20 min , 2 hr 40 min , 5 hr 40 min , 6 hr 
1165,"a man swims downstream 40 km and upstream 56 km taking 8 hours each time , what is the speed of the man in still water ?",a,physics, 6 , 24 , 8 , 12 , 44 
1166,"a 1100 m long train crosses a tree in 110 sec , how much time will it take to pass a platform 700 m long ?",d,physics, 288 , 190 , 188 , 180 , 12 
1167,a man can row downstream at 16 kmph and upstream at 10 kmph . find the speed of the man in still water and the speed of stream respectively ?,a,physics, 3 , 5 , 6 , 4 , 9 
1168,"a train covers a distance of 14 km in 10 min . if it takes 6 sec to pass a telegraph post , then the length of the train is ?",c,physics, m , m , m , m , m 
1169,"eight identical machines can produce 360 aluminum cans per hour . if all of the machines work at the same constant rate , how many cans could 5 such machines produce in 2 hours ?",a,physics, 450 , 750 , 1, 5, 7
1170,"one hour after yolanda started walking from x to y , a distance of 31 miles , bob started walking along the same road from y to x . if yolanda ' s walking rate was 3 miles per hour and bob т ' s was 4 miles per hour , how many miles had bob walked when they met ?",e,physics, 24 , 23 , 22 , 21 , 16 
1171,"two persons a and b can complete a piece of work in 30 days and 45 days respectively . if they work together , what part of the work will be completed in 5 days ?",a,physics, 5 / 18 , 1 / 6 , 1 / 4 , 1 / 9 , 2 / 6 
1172,"an seller earns an income of re 3 on the first day of his business . on every subsequent day , he earns an income which is just thrice of that made on the previous day . on the 15 th day of business , he earns an income of :",e,physics, 19 , 22 , 25 , 20 , 36 
1173,"a can finish a work in 12 days , b in 9 days and c in 2 days , b and c start the work but are forced to leave after 3 days . the remaining work was done by a in ?",e,physics, 10 days , 12 days , 6 days , 7 days , 5 days 
1174,75 boys can complete a job in 24 days . how many men need to complete the job twice in 20 days,c,physics, 160 , 170 , 180 , 190 , 200 
1175,a contractor is engaged for 30 days on the condition that he receives rs . 25 for eachday he works & is fined rs . 7.50 for each day is absent . he gets rs . 425 in all . for how many days was heabsent ?,b,physics, 5 , 10 , 17 , 25 , 30 
1176,light glows for every 14 seconds . how many times did it between 1 : 57 : 58 and 3 : 20 : 47 am,e,physics, 381 , 382 , 383 , 384 , 355 
1177,"if 36 men can do a piece of work in 20 hours , in how mwny hours will 15 men do it ?",b,physics, 22 , 48 , 60 , 88 , 72 
1178,"20 beavers , working together in a constant pace , can build a dam in 3 hours . how many hours z will it take 12 beavers that work at the same pace , to build the same dam ?",c,physics, 2 . , z = 4 . , z = 5 . , 6 . , 8 . 
1179,a train 100 m long crosses a platform 125 m long in 2 sec ; find the speed of the train ?,b,physics, 36 , 405 , 200 , 302 , 404 
1180,"the length of the bridge , which a train 160 meters long and travelling at 45 km / hr can cross in 30 seconds , is ?",c,physics, 766 m , 156 m , 215 m , 156 m , 156 m 
1181,"a car that moves at an average speed of 60 kmph , reaches its destination on time . when its average speed becomes 50 kmph , then it reaches its destination 45 minutes late . find the length of journey .",b,physics, 189 km , 225 km , 255 km , 199 km , none 
1182,"one pipe can fill a tank in 15 hour . but because of hole in a tank , this tank fill in 20 hour . so in how much time this hole will empty the full tank ?",d,physics, 30 , 40 , 50 , 60 , 70 
1183,the speed of a train is 90 kmph . what is the distance covered by it in 5 minutes ?,a,physics, 7.5 , 66 , 77 , 52 , 42 
1184,"p can do a work in 15 days and q cando the same work in 20 days . if they can work together for 4 days , what is the fraction of work left ?",c,physics, 6 / 15 , 7 / 13 , 8 / 15 , 9 / 17 , 2 / 13 
1185,the sum of 77 consecutive integers is 7777 . what is the greatest integer in the set ?,a,physics, 139 , 141 , 143 , 145 , 147 
1186,"pipe a can fill a tank in 12 minutes and pipe b cam empty it in 24 minutes . if both the pipes are opened together after how many minutes should pipe b be closed , so that the tank is filled in 30 minutes ?",e,physics, 18 , 27 , 98 , 27 , 36 
1187,two trains running in opposite directions cross a man standing on the platform in 27 seconds and 17 seconds respectively and they cross each other in 23 seconds . the ratio of their speeds is ?,b,physics, 3 / 7 , 3 / 2 , 3 / 5 , 3 / 1 , 3 / 3 
1188,"a walks at 10 kmph and 5 hours after his start , b cycles after him at 20 kmph . how far from the start does b catch up with a ?",a,physics, 100 km , 150 km , 50 km , 120 km , 200 km 
1189,"a man can row 8 kmph in still water . when the river is running at 1.8 kmph , it takes him 2 hour to row to a place and back . what is the total distance traveled by the man ?",c,physics, 8.2 km , 6.7 km , 7.6 km , 7.4 km , 6.3 km 
1190,"a cube of side 5 cm is painted on all its side . if it is sliced into 1 cubic centimer cubes , how many 1 cubic centimeter cubes will have exactly one of their sides painted ?",d,physics, 9', 61', 98', 54', 64'] 
1191,"jane makes toy bears . when she works with an assistant , she makes 44 percent more bears per week and works 10 percent fewer hours each week . having an assistant increases jane ’ s output of toy bears per hour by what percent ?",b,physics, 20 % , 60 % , 100 % , 180 % , 200 % 
1192,two trains are moving in the same direction at 108 kmph and 36 kmph . the faster train crosses the slower train in 17 seconds . find the length of the faster train in meters .,b,physics, 270 m , 340 m , 310 m , 350 m , 327 m 
1193,how many seconds will a 500 metre long train take to cross a man walking with a speed of 3 km / hr in the direction of the moving train if the speed of the train is 63 km / hr ?,b,physics, 25 , 30 , 40 , 45 , 55 
1194,"in a garden , 26 trees are planted at equal distances along a yard 500 metres long , one tree being at each end of the yard . what is the distance between two consecutive trees ?",a,physics, 20 , 8 , 12 , 14 , 16 
1195,a is half good a work man as b and together they finish a job in 18 days . in how many days working alone b finish the job ?,c,physics, 23 , 22 , 27 , 36 , 48 
1196,an engine moves at the speed of 60 kmph without any coaches attached to it . speed of the train reduces at the rate that varies directly as the square root of the number of coaches attached . when 4 coaches are attached speed decreases to 48 kmph . what will be the speed of train when 36 coaches are attached .,a,physics, 24 , 28 , 20 , 32 , 40 
1197,"the rear – most end of a 66 foot truck exits a 330 foot tunnel exactly 6 seconds after the front – most end of the truck entered the tunnel . if the truck traveled the entire tunnel at a uniform speed , what is the speed of the truck in miles per hour ( 1 mile = 5,280 feet ) ?",c,physics, 225 , 90 , 45 , 37.5 , 27 
1198,the length of a room is 5.5 m and width is 3.75 m . find the cost of paving the floor by slabs at the rate of rs . 800 per sq . metre .,d,physics, rs . 15000 , rs . 15550 , rs . 15600 , rs . 16500 , none of these 
1199,"a , b , k start from the same place and travel in the same direction at speeds of 30 km / hr , 40 km / hr , 60 km / hr respectively . b starts six hours after a . if b and k overtake a at the same instant , how many hours after a did k start ?",d,physics, 3 , 4.5 , 4 , d ) 12 , e ) 5 
1200,"on a map , 1 inch represents 28 miles . how many inches would be necessary to represent a distance of 383.6 miles ?",c,physics, 5.2 , 7.4 , 13.7 , 21.2 , 28.7 
1201,"a car traveled 462 miles per tankful of gasoline on the highway and 336 miles per tankful of gasoline in the city . if the car traveled 3 fewer miles per gallon in the city than on the highway , how many miles per gallon did the car travel in the city ?",a,physics, 8 , 16 , 21 , 22 , 27 
1202,"working alone at their respective constant rates , a can complete a task in ‘ a ’ days and b in ‘ b ’ days . they take turns in doing the task with each working 2 days at a time . if a starts they finish the task in exactly 10 days . if b starts , they take a day more . how long does it take to complete the task if they both work together ?",a,physics, 5 , 4.5 , 6 , 7 , 8 
1203,"at a speed of 60 miles per hour , a certain car uses 1 gallon of gasoline every 30 miles . if the car starts with a full 12 gallon tank of gasoline and travels for 5 hours at 60 miles per hour , the amount of gasoline used would be what fraction of a full tank ?",e,physics, 3 / 25 , 11 / 36 , 7 / 12 , 2 / 3 , 5 / 6 
1204,"on a map , 2 inches represent 30 miles . how many miles approximately is the distance if you measured 38 centimeters assuming that 1 - inch is 2.54 centimeters ?",d,physics, 226 , 228 , 230 , 224 , 232 
1205,a train 160 m long is running at a speed of 45 km / hr . in what time will it pass a bridge 140 m long ?,d,physics, 40 sec , 50 sec , 44 sec , 24 sec , 60 sec 
1206,if 2 men or 3 women can reap a field in 5 days how long will 5 men and 6 women take to reap it ?,e,physics, 2 / 24 , 6 / 18 , 2 / 22 , 5 / 12 , 9 / 10 
1207,walking at 25 % of his usual speed a man takes 24 minutes more to cover a distance . what is his usual time to cover this distance ?,a,physics, 8 , 16 , 42 , 48 , 54 
1208,"due to construction , the speed limit along an 12 - mile section of highway is reduced from 55 miles per hour to 35 miles per hour . approximately how many minutes more will it take to travel along this section of highway at the new speed limit than it would have taken at the old speed limit ?",d,physics, 4 , 5 , 6 , 7 , 8 
1209,"a company has a hierarchical system where for every 10 workers , there is one team lead , and for every 3 teams leads , there is one supervisor . if the company has 13 supervisors , how many workers does it have ?",c,physics, 140 , 321 , 390 , 500 , 130 
1210,"the ratio between the length and the breadth of a rectangular park is 3 : 2 . if a man cycling along the boundary of the park at the speed of 9 km / hr completes one round in 5 min , then the area of the park ( in sq . m ) is ?",d,physics, 337500 m , 300000 m , 153600 m , 33750 m , 9000 m 
1211,a train 120 m long is running with a speed of 66 km / hr . in what time will it pass a man who is roller skating at 12 km / hr in the direction opposite to that in which the train is going ?,b,physics, 4.92 , 6.92 , 7.92 , 4.92 , 2.92 
1212,"it takes joey the postman 1 hours to run a 4 mile long route every day . he delivers packages and then returns to the post office along the same path . if the average speed of the round trip is 5 mile / hour , what is the speed with which joey returns ?",a,physics, 6 2 / 3 , 12 , 13 , 14 , 15 
1213,a train 240 m in length crosses a telegraph post in 16 seconds . the speed of the train is ?,c,physics, 77 kmph , 55 kmph , 54 kmph , 58 kmph , 76 kmph 
1214,a can do a particular work in 6 days . b can do the same work in 8 days . a and b signed to do it for rs . 2400 . they completed the work in 3 days with the help of c . how much is to be paid to c ?,a,physics, s . 300 , s . 600 , s . 420 , s . 400 , s . 480 
1215,"if two typists can type two pages in two minutes , how many typists will it take to type 25 pages in 5 minutes ?",c,physics, 3 , 4 , 10 , 12 , 36 
1216,"a train covers a distance of 100 km in 1 hour . if its speed is decreased by 20 km / hr , the time taken by the car to cover the same distance will be ?",b,physics, 1 hr , 1 hr 15 min , 50 min , 1 hr 30 min , 1 hr 45 min 
1217,a and b together can do a work in 2 days . a alone can do it in 12 days . what time b will take to do the work alone ?,a,physics, 2.4 days , 8 days , 1.2 days , 1.0 days , 5 days 
1218,a train running at the speed of 60 km / hr crosses a pole in 21 seconds . find the length of the train .,a,physics, 350 m , 145 m , 240 m , 135 m , 255 m 
1219,"a factory produces 4340 toys per week . if the workers at this factory work 2 days a week and if these workers make the same number of toys everyday , how many toys are produced each day ?",b,physics, 1375 toys , 2170 toys , 2375 toys , 2175 toys , 5375 toys 
1220,"on a map , 1 inch represents 28 miles . how many z inches would be necessary to represent a distance of 383.6 miles ?",c,physics, 5.2 , 7.4 , 13.7 , 21.2 , 28.7 
1221,a train 150 m long is running with a speed of 60 km / hr . in what time will it pass a man who is running at 6 km / hr in the direction opposite to that in which the train is going ?,e,physics, 5 , 6 , 7 , 9 , 8 
1222,"excluding stoppages , the speed of a train is 54 kmph and including stoppages it is 40 kmph . of how many minutes does the train stop per hour ?",c,physics, a ) 13.55 , b ) 14.55 , c ) 15.55 , d ) 16.55 , e ) 17.55 
1223,a train 385 meters long is running with a speed of 60 kmph . in what time will it pass a man who is running at 6 kmph in the direction opposite to that in which the train is going ?,b,physics, 5 , 21 , 7 , 8 , 9 
1224,"if 12 men or 20 women can do a piece of work in 54 days , then in how many days can 9 men and 39 women together do the work ?",c,physics, 10 days , 30 days , 20 days , 80 days , 40 days 
1225,"if a car had traveled 35 kmh faster than it actually did , the trip would have lasted 30 minutes less . if the car went exactly 105 km , at what speed did it travel ?",e,physics, 50 kmh , 55 kmh , 60 kmh , 65 kmh , 70 kmh 
1226,a cistern 8 m long and 6 m wide contains water up to a depth of 1 m 25 cm . the total area of the wet surface is :,c,physics, 80 m 2 , 50 m 2 , 83 m 2 , 86 m 2 , 55 m 2 
1227,a train running at the speed of 30 km / hr crosses a pole in 9 sec . what is the length of the train ?,a,physics, 75 m , 180 m , 324 m , can not be determined , none of these 
1228,rahul travels from a to b a distance of 200 miles in 5 hours . he returns to a in 4 hours . find his average speed ?,c,physics, 52.2 mph , 61.9 mph , 44.4 mph , 35.7 mph , 65.6 mph 
1229,"two trains 137 meters and 163 meters in length are running towards each other on parallel lines , one at the rate of 42 kmph and another at 48 kmpb . in what time will they be clear of each other from the moment they meet",c,physics, 8 sec , 10 sec , 12 sec , 14 sec , 16 sec 
1230,"two good train each 650 m long , are running in opposite directions on parallel tracks . their speeds are 45 km / hr and 30 km / hr respectively . find the time taken by the slower train to pass the driver of the faster one .",c,physics, 12.4 sec , 24.3 sec , 62.4 sec , 60.1 sec , none 
1231,a work can be finished in 20 days by 10 women . the same work can be finished in fifteen days by 20 men . the ratio between the capacity of a man and a woman is,c,physics, 1 : 3 , 4 : 3 , 2 : 3 , 2 : 1 , 2 : 4 
1232,"the length of a train and that of a platform are equal . if with a speed of 216 k / hr , the train crosses the platform in one minute , then the length of the train ( in meters ) is ?",e,physics, 1752 , 1799 , 1719 , 1750 , 1800 
1233,"if it takes a machine 4 ⁄ 5 minute to produce one item , how many items will it produce in 2 hours ?",b,physics, 1 ⁄ 3 , 150 , 80 , 120 , 180 
1234,"john and david work at a hospital with 10 other workers . for an internal review , 2 of the 10 workers will be randomly chosen to be interviewed . what is the probability that john and david will both be chosen ?",a,physics, 1 / 45 , 1 / 35 , 1 / 25 , 1 / 15 , 1 / 10 
1235,"one hour after yolanda started walking from x to y , a distance of 65 miles , bob started walking along the same road from y to x . if yolanda â s walking rate was 5 miles per hour and bob â s was 7 miles per hour , how many miles had bob walked when they met ?",e,physics, 31 , 32 , 33 , 34 , 35 
1236,"at a speed of 40 miles per hour , a certain car uses 1 gallon of gasoline every 40 miles . if the car starts with a full 12 gallon tank of gasoline and travels for 5 hours at 40 miles per hour , the amount of gasoline used would be what fraction of a full tank ?",b,physics, 3 / 25 , 5 / 12 , 7 / 12 , 2 / 3 , 25 / 36 
1237,"rahul ' s housing colony have one tap , working alone at its maximum constant rate , can fill a certain tank in 230 seconds . a second tap , working alone at its maximum constant rate , can fill the same tank in 234 seconds . if both taps work together at their respective maximum constant rates , the time it will take to fill the tank is closest to",a,physics, 116 seconds , 150 seconds , 177 seconds , 200 seconds , 270 seconds 
1238,"a can do a work in 20 days , b in 30 days . a alone start the work after 10 days he left work . in how many days b can finish the work ?",e,physics, 30 days , 25 days , 20 days , 10 days , 15 days 
1239,there are 24 students in chad â € ™ s class . he brought 27 cookies to pass out for his birthday . how many cookies will each student get ? will there be any cookies left over ?,d,physics, 1 - 9 , 1 - 7 , 2 - 8 , 1 - 3 , 3 - 10 
1240,a man goes from a to b at a speed of 35 kmph and comes back to a at a speed of 28 kmph . find his average speed for the entire journey ?,c,physics, 38.9 kmph , 38.8 kmph , 38.1 kmph , 37.1 kmph , 37.8 kmph 
1241,a train 150 m long crosses a platform 100 m long in 10 sec ; find the speed of the train ?,d,physics, 100 , 70 , 95 , 90 , 85 
1242,"calculate the time it will take for a train that is 240 meter long to pass a bridge of 130 meter length , if the speed of the train is 50 km / hour ?",d,physics, 21.64 seconds , 22.64 seconds , 23.64 seconds , 26.64 seconds , 35.64 seconds 
1243,the current in a river is 4 mph . a boat can travel 18 mph in still water . how far up the river can the boat travel if the round trip is to take 10 hours ?,b,physics, 69 miles , 85.5 miles , 96 miles , 100 miles , 112 miles 
1244,a car started running at a speed of 30 km / hr and the speed of the car was increased by 2 km / hr at the end of every hour . find the total distance covered by the car in the first 8 hours of the journey .,a,physics, 296 km , 352 km , 642 km , 742 km , 382 km 
1245,"find the area of trapezium whose parallel sides are 20 cm and 18 cm long , and the distance between them is 12 cm .",b,physics, 335 cm 2 , 228 cm 2 , 285 cm 2 , 825 cm 2 , 725 cm 2 
1246,"joe needs to paint all the airplane hangars at the airport , so he buys 360 gallons of paint to do the job . during the first week , he uses 1 / 6 of all the paint . during the second week , he uses 1 / 5 of the remaining paint . how many gallons of paint has joe used ?",b,physics, 18 , 120 , 175 , 216 , 250 
